"codi_barri" "nom_barri" "X" "Y" "RDLpc_2019" "area" "densitat" "vida_esp" "edat" "SR_parcs" "shan_parcs" "NT_parcs" "SR_viari" "shan_viari" "NT_viari" "SR_zona" "shan_zona" "NT_zona" "SR_total" "shan_total" "NT_total"
"1" 1 "el Raval  " 2.170437757 41.37899896 12142 109.8 443.424408 81.6 38.2 7 1.62273004167241 65 42 2.75523168623386 1847 40 2.93432344284714 263 63 3.01136673752264 2175
"2" 2 "el Barri Gòtic  " 2.177311959 41.38129193 16732 84.2 271.3776722 82.5 38.6 0 NA 0 37 2.48612147697179 730 13 2.22396671106493 107 40 2.63350204187105 837
"3" 3 "la Barceloneta  " 2.190148002 41.3776831 16322 131.4 115.1065449 80.5 42.6 18 2.00949715248518 461 46 2.86954374525651 2336 20 2.38527482182197 149 54 2.94801821533972 2946
"4" 4 "Sant Pere, Santa Caterina i la Ribera  " 2.183430656 41.38679471 18075 111.4 206.5439856 83.5 40.3 161 3.82511477521075 2902 46 2.34606389096536 1897 6 1.06408765724082 42 171 3.54320251496045 4841
"5" 5 "el Fort Pienc  " 2.181498901 41.39740583 23137 92.9 360.0107643 84.7 43.9 41 2.71916188764726 543 44 2.04253410204663 2534 33 2.90948449837985 236 72 2.63861710301597 3313
"6" 6 "la Sagrada Família  " 2.176535165 41.40545285 22753 105.1 496.3273073 85 44.9 12 2.21322865841149 71 40 1.91840538580053 3325 48 3.14543665196562 627 66 2.3816474004303 4023
"7" 7 "la Dreta de l'Eixample  " 2.168204007 41.3938922 30341 212.3 207.6683938 84.1 44 0 NA 0 51 1.76595668388028 6319 37 3.00351548092178 347 64 1.95627912196791 6666
"8" 8 "l'Antiga Esquerra de l'Eixample  " 2.155172901 41.38934718 27634 123.4 348.8330632 84.8 44.1 0 NA 0 45 1.86491768966911 3737 34 3.11223570978596 173 61 2.02099752245972 3910
"9" 9 "la Nova Esquerra de l'Eixample  " 2.148969724 41.38305579 25378 133.8 432.7802691 85.8 45.3 17 1.61618625774961 690 40 1.74659205379289 3535 52 3.26534666515753 446 69 2.38361092127908 4671
"10" 10 "Sant Antoni  " 2.159348869 41.37851505 22851 80.1 483.1460674 86.3 44.9 0 NA 0 35 1.659630092848 2585 24 2.74779517607719 124 45 1.84865444544616 2709
"11" 11 "el Poble Sec - AEI Parc de Montjuïc  " 2.158210605 41.36538883 16160 460.5 87.30510315 83.4 42.2 198 4.04168190319007 5337 72 2.39127324025331 5092 106 3.39924703759235 3403 215 3.67991699323767 13832
"12" 12 "la Marina del Prat Vermell - AEI Zona Franca  " 2.141843724 41.33908139 12528 1428.4 0.949313918 79.8 42.6 0 NA 0 40 2.79492996508711 1531 36 2.80317109989375 228 58 2.99492857806319 1759
"13" 13 "la Marina de Port  " 2.139827183 41.36001068 16999 125.5 247.7450199 84.4 44 44 2.94194501002069 571 52 2.78544823294084 3172 61 3.21226995032766 1563 87 3.25171394654389 5306
"14" 14 "la Font de la Guatlla  " 2.144916828 41.36977698 20302 30.2 339.0397351 83.3 45.8 18 2.13675419508199 409 24 2.27386695351998 740 41 3.05232448596094 370 58 3.10739526263297 1519
"15" 15 "Hostafrancs  " 2.144255157 41.37530515 19678 41 392.7317073 84.6 43.3 0 NA 0 36 2.78806415599742 1286 10 2.07584931963138 64 41 2.86779701490167 1350
"16" 16 "la Bordeta  " 2.136434398 41.36906585 19998 57.7 337.1057192 85.7 45.2 0 NA 0 38 2.86208987688629 1093 57 3.04348696383528 549 68 3.15750400292473 1642
"17" 17 "Sants - Badal  " 2.127722348 41.37464853 19724 41.1 605.9124088 85.5 44.8 0 NA 0 23 2.35380834596919 959 4 0.770757378439152 105 25 2.46387942950724 1064
"18" 18 "Sants  " 2.136349193 41.37746465 21686 109.8 397.8051002 85.8 43.8 13 1.56823888680348 290 46 2.70898832747529 2047 38 2.68427312132017 510 67 2.97957181889188 2847
"19" 19 "les Corts  " 2.134687322 41.38692435 28898 141.3 325.1450814 85.8 46.4 12 2.11114260136859 62 70 2.62627216496725 5165 84 3.50394826634878 1501 110 3.03993458062407 6728
"20" 20 "la Maternitat i Sant Ramon  " 2.117399121 41.38119372 26416 190.3 125.1970573 86.7 46.2 0 NA 0 59 3.024269543259 3228 68 3.21802636013148 1101 84 3.31992844087557 4329
"21" 21 "Pedralbes  " 2.110191163 41.39103219 39025 270.2 43.70096225 87.7 44.4 92 3.56707533136108 2061 71 3.04830335977679 4482 84 3.73416119676133 1075 128 3.65239052683857 7618
"22" 22 "Vallvidrera, el Tibidabo i les Planes  " 2.089452905 41.41949837 29429 1152.2 4.131227217 80.9 40.9 5 1.24112518434921 41 27 2.43780164167397 297 12 2.0115587711122 54 33 2.69756124371305 392
"23" 23 "Sarrià  " 2.116175693 41.40263939 35993 304.2 81.42340565 85 42.7 72 3.48424483721841 942 63 3.16129635254635 2990 47 3.13163380723972 531 102 3.48773195928815 4463
"24" 24 "les Tres Torres  " 2.129843552 41.39801148 42055 78.8 207.5634518 86.2 42.7 0 NA 0 44 2.41157168704762 2137 41 3.05453675852443 439 62 2.74864583657695 2576
"25" 25 "Sant Gervasi - la Bonanova  " 2.130182679 41.4098011 36874 223.5 116.2595078 84.9 43.3 56 2.75927625800768 659 52 3.00792708611339 3267 42 3.22451236133824 401 94 3.31993030298665 4327
"26" 26 "Sant Gervasi - Galvany  " 2.143010396 41.39745161 37290 165.9 285.3887884 86.3 43.9 76 3.1970436358913 1376 70 3.07424761048868 3979 52 3.29996485272672 396 111 3.46400744365112 5751
"27" 27 "el Putxet i el Farró  " 2.143915166 41.40689832 30800 84.6 354.4444444 86.2 43.4 48 3.00837788417303 736 44 3.15100966623629 1161 51 3.13250871330134 306 86 3.64206479516112 2203
"28" 28 "Vallcarca i els Penitents  " 2.140819049 41.41649389 26010 120.9 135.0289495 85.8 44.5 3 1.01140426470735 6 55 2.91015880530116 1762 81 3.66345306913377 858 96 3.48816362551369 2626
"29" 29 "el Coll  " 2.147736387 41.41823355 21252 35.8 214.7486034 85.5 43.7 39 2.45532825143547 680 27 2.81137731608531 350 18 2.61305661190383 46 57 3.07747838017581 1076
"30" 30 "la Salut  " 2.154355758 41.41243134 24786 64.3 209.2534992 82.4 45.1 57 2.82750366762777 1378 49 3.03388810651678 879 25 2.58937587792941 237 85 3.4278918636243 2494
"31" 31 "la Vila de Gràcia  " 2.156881056 41.40311171 23749 132.6 380.5128205 84.8 43 0 NA 0 46 2.92998964430695 2458 29 2.76442336969408 222 58 3.05191731294828 2680
"32" 32 "el Camp d'en Grassot i Gràcia Nova  " 2.165013111 41.40630319 25292 65 543.8769231 85.3 45.2 0 NA 0 33 2.51494187597145 1760 9 1.82285365349414 39 37 2.59188088482868 1799
"33" 33 "el Baix Guinardó  " 2.167850938 41.4117131 21811 56 461.4642857 84.7 46.3 49 3.03011588633087 383 36 2.37983095787929 1404 38 2.89035858660747 338 79 3.12392535102448 2125
"34" 34 "Can Baró  " 2.162386516 41.41676036 20248 38.4 242.7083333 83.8 44.6 2 0.636514168294813 3 26 2.62974964565323 415 50 3.07763285143105 462 65 3.34165464248047 880
"35" 35 "el Guinardó  " 2.173626027 41.41881977 21229 130.8 285.3593272 85.7 44.7 30 2.65334521335399 342 59 3.22286255905334 2406 38 3.09146531294995 392 78 3.50162825802856 3140
"36" 36 "la Font d'en Fargues  " 2.16524146 41.42458218 24807 65.7 144.6727549 85.3 45.4 22 2.02940618262142 121 48 2.62127747692973 1257 12 2.24572393048514 26 60 2.82260362472431 1404
"37" 37 "el Carmel  " 2.155947029 41.42174661 15582 94.2 347.388535 84.6 44 2 0.686961576597323 9 44 2.52421404668458 1537 44 2.87885352484114 545 63 2.93806860290349 2091
"38" 38 "la Teixonera  " 2.14652181 41.42305283 17118 33.7 357.388724 83.6 44.1 1 0 5 30 2.6962166763104 590 47 3.2007134347747 356 54 3.09909485249574 951
"39" 39 "Sant Genís dels Agudells  " 2.130116503 41.4254554 17351 171.6 43.03613054 82.9 45 0 NA 0 33 2.34405050467099 465 55 3.39524518657305 500 62 3.27068109535612 965
"40" 40 "Montbau  " 2.137761164 41.43526641 19170 204.7 24.98290181 80.2 47.1 21 2.47696778232927 133 30 2.17789720634707 595 73 3.22064295714847 1366 87 3.31237884017999 2094
"41" 41 "la Vall d'Hebron  " 2.148344479 41.43041697 22778 73.6 80.59782609 84.7 47.5 3 0.668017818660753 21 42 3.03812966049043 1197 89 3.55971934737437 2147 94 3.58127002639258 3365
"42" 42 "la Clota  " 2.153076308 41.42886495 19442 17.8 39.21348315 82 39.3 0 NA 0 25 2.48551388527468 368 11 1.91084804636758 40 29 2.56136445022515 408
"43" 43 "Horta  " 2.151930867 41.4398903 19947 308.2 91.02855289 84.9 45.4 82 2.82175317711078 2409 61 2.94354444458892 2867 74 3.4893412480835 1523 127 3.61944577019866 6799
"44" 44 "Vilapicina i la Torre Llobeta  " 2.174092135 41.42859145 19414 56.7 456.3492063 85.6 46.2 0 NA 0 47 2.84756663007227 2154 36 2.80757865654426 346 63 2.98840103350579 2500
"45" 45 "Porta  " 2.17878525 41.43486704 16964 84.1 330.5112961 85.4 44.6 19 1.6887688852999 594 57 2.86061055166233 3087 45 3.19073504356711 657 72 3.11955244718371 4338
"46" 46 "el Turó de la Peira  " 2.168928709 41.43229812 14545 35.4 457.2316384 85.5 43.1 43 2.50889927879756 1824 24 2.09802690426617 910 39 3.13163441586127 257 73 3.03236097472993 2991
"47" 47 "Can Peguera  " 2.166450148 41.43484212 12738 12 184.5833333 82 45.3 6 1.35178399428965 14 24 2.45707958237664 428 9 1.89836708602001 44 30 2.62253889951075 486
"48" 48 "la Guineueta  " 2.168911157 41.43881018 18932 61.1 249.8690671 85.7 47.5 95 3.7132317276625 1402 53 2.97321877049714 1620 78 3.49468886430918 1181 137 3.75100256961673 4203
"49" 49 "Canyelles  " 2.1634505 41.44503296 17878 79.3 85.91424968 84.1 48.2 39 3.05997765718051 361 37 2.93354400657628 737 63 3.34233179633945 632 82 3.57288166199786 1730
"50" 50 "les Roquetes  " 2.175163078 41.44804469 13014 64.2 257.9906542 83.9 40.9 36 2.16039240655016 652 46 3.00372317102396 1045 59 3.22652989852087 340 86 3.37539760055831 2037
"51" 51 "Verdun  " 2.175622784 41.44269384 14267 23.7 542.8270042 84.2 43.5 0 NA 0 26 2.52567361638356 905 34 2.89152750870125 240 44 2.84844181703787 1145
"52" 52 "la Prosperitat  " 2.181959849 41.44265822 15799 59.5 451.5630252 85.5 45.6 0 NA 0 54 2.97567770479192 1850 45 3.00500764945485 760 74 3.17550134138571 2610
"53" 53 "la Trinitat Nova  " 2.184890357 41.45060784 12205 56 136.2142857 79.6 42.2 16 2.14183917606443 55 39 2.76876624838943 1036 67 3.42815018194101 1152 78 3.4393982765191 2243
"54" 54 "Torre Baró  " 2.174064939 41.45478246 11455 176.8 16.53280543 81 39.3 19 2.62856437693623 56 31 2.6104764719627 427 29 2.99078684302839 144 57 3.2285692555701 627
"55" 55 "Ciutat Meridiana  " 2.174847561 41.46120775 10739 35.5 314.1408451 85.7 39.6 0 NA 0 23 2.64661848731341 167 60 3.06730744197691 813 67 3.25203718555528 980
"56" 56 "Vallbona  " 2.184082545 41.46345736 11660 59.8 23.42809365 78.1 40.6 0 NA 0 20 2.21006864318748 228 27 3.01508462466099 166 39 2.99848965532463 394
"57" 57 "la Trinitat Vella  " 2.192894784 41.45167512 11994 81 129.7901235 85.4 39.5 22 2.25724223959715 816 47 2.90583023950564 1378 54 2.68863175998954 1246 81 3.19305385348732 3440
"58" 58 "Baró de Viver  " 2.198997703 41.44581465 12022 23 115.3478261 80.6 41.1 0 NA 0 24 1.99885199177149 747 28 2.47470495354503 425 40 2.60420994013282 1172
"59" 59 "el Bon Pastor  " 2.201881197 41.43696474 15351 188.2 72.95430393 82.6 40.8 33 2.69551263226635 187 44 2.39449284307908 3061 44 3.22834585477519 848 69 2.87359095799094 4096
"60" 60 "Sant Andreu  " 2.190234547 41.43695064 21547 184.1 316.2683324 85.7 44.9 0 NA 0 69 2.8281035820433 5198 72 3.39400054489649 1447 100 3.17922782192076 6645
"61" 61 "la Sagrera  " 2.19024139 41.42326366 19799 97.2 304.1975309 85.5 45.5 29 2.66331238511556 524 53 2.72874553095035 2435 45 2.99244853082486 536 71 3.12077137394693 3495
"62" 62 "el Congrés i els Indians  " 2.180835806 41.42457881 20089 40.7 357.4692875 85.5 45 0 NA 0 44 3.10095121134075 1433 42 3.19936185813787 238 61 3.32071560361863 1671
"63" 63 "Navas  " 2.185948458 41.41800035 20375 42.3 527.1631206 85.8 45.6 0 NA 0 38 2.47371612183071 1381 26 2.80985415217637 273 44 2.68662997639506 1654
"64" 64 "el Camp de l'Arpa del Clot  " 2.182461184 41.41201055 20927 74.2 523.4231806 84.8 45.2 0 NA 0 47 2.08340410266856 2037 35 3.01074620458166 216 60 2.3867950535831 2253
"65" 65 "el Clot  " 2.190020231 41.40980581 20483 69.6 384.4683908 85.6 44.5 37 2.34271867679242 634 50 2.48563726284398 2141 30 2.50941438163273 395 70 2.87786893314435 3170
"66" 66 "el Parc i la Llacuna del Poblenou  " 2.190249555 41.39861299 21441 111.4 142.8545781 85.2 43.4 16 2.37634955528795 99 36 1.97979193422593 2499 21 1.79501241555733 549 52 2.39417903606417 3147
"67" 67 "la Vila Olímpica del Poblenou  " 2.196629408 41.39073233 32436 94.3 99.62884411 87.4 41.8 41 2.82271800711125 894 46 2.50612086430273 3024 27 2.70037579577035 452 66 2.8680703551291 4370
"68" 68 "el Poblenou  " 2.20239455 41.39998644 22751 154.5 222.7249191 84.3 41.8 30 1.19668166569331 1104 58 2.36143219339542 4198 36 2.94354016208474 466 77 2.68701613353317 5768
"69" 69 "Diagonal Mar i el Front Marítim del Poblenou  " 2.212946065 41.40527613 25589 123.7 109.4260307 85.9 40.8 70 3.23574843216079 1428 47 2.49845693251716 2875 29 2.65948215479776 352 88 3.10047061829627 4655
"70" 70 "el Besòs i el Maresme  " 2.216814241 41.41331399 12787 127.4 204.9921507 84.5 41.2 11 0.891479634621455 392 62 2.64417669613475 4713 37 3.10085682002328 362 72 2.81540612188607 5467
"71" 71 "Provençals del Poblenou  " 2.202629363 41.41112312 20080 110.5 191.719457 85.1 42.9 14 1.66760079805494 836 50 2.08299608773689 3065 18 2.17552921231829 499 57 2.5265351760595 4400
"72" 72 "Sant Martí de Provençals  " 2.198006429 41.41686182 18637 74.5 352.0671141 85.8 46.3 40 2.72826337130853 442 43 2.23869675705919 3073 32 2.6855369872173 468 64 2.6483280331144 3983
"73" 73 "la Verneda i la Pau  " 2.203073198 41.42394957 16820 112.3 256.4381122 84.7 46.7 0 NA 0 70 2.56396818687488 4681 64 3.22401272458237 917 92 2.83513039208409 5598
