codi_barri;nom_barri;X;Y;RDLpc_2019;area;densitat;vida_esp;edat
1;el Raval  ;2,170437757;41,37899896;12142,00;109,80;443,424408;81,6;38,2
2;el Barri Gòtic  ;2,177311959;41,38129193;16732,00;84,20;271,3776722;82,5;38,6
3;la Barceloneta  ;2,190148002;41,3776831;16322,00;131,40;115,1065449;80,5;42,6
4;Sant Pere, Santa Caterina i la Ribera  ;2,183430656;41,38679471;18075,00;111,40;206,5439856;83,5;40,3
5;el Fort Pienc  ;2,181498901;41,39740583;23137,00;92,90;360,0107643;84,7;43,9
6;la Sagrada Família  ;2,176535165;41,40545285;22753,00;105,10;496,3273073;85;44,9
7;la Dreta de l'Eixample  ;2,168204007;41,3938922;30341,00;212,30;207,6683938;84,1;44
8;l'Antiga Esquerra de l'Eixample  ;2,155172901;41,38934718;27634,00;123,40;348,8330632;84,8;44,1
9;la Nova Esquerra de l'Eixample  ;2,148969724;41,38305579;25378,00;133,80;432,7802691;85,8;45,3
10;Sant Antoni  ;2,159348869;41,37851505;22851,00;80,10;483,1460674;86,3;44,9
11;el Poble Sec - AEI Parc de Montjuïc  ;2,158210605;41,36538883;16160,00;460,50;87,30510315;83,4;42,2
12;la Marina del Prat Vermell - AEI Zona Franca  ;2,141843724;41,33908139;12528,00;1428,40;0,949313918;79,8;42,6
13;la Marina de Port  ;2,139827183;41,36001068;16999,00;125,50;247,7450199;84,4;44
14;la Font de la Guatlla  ;2,144916828;41,36977698;20302,00;30,20;339,0397351;83,3;45,8
15;Hostafrancs  ;2,144255157;41,37530515;19678,00;41,00;392,7317073;84,6;43,3
16;la Bordeta  ;2,136434398;41,36906585;19998,00;57,70;337,1057192;85,7;45,2
17;Sants - Badal  ;2,127722348;41,37464853;19724,00;41,10;605,9124088;85,5;44,8
18;Sants  ;2,136349193;41,37746465;21686,00;109,80;397,8051002;85,8;43,8
19;les Corts  ;2,134687322;41,38692435;28898,00;141,30;325,1450814;85,8;46,4
20;la Maternitat i Sant Ramon  ;2,117399121;41,38119372;26416,00;190,30;125,1970573;86,7;46,2
21;Pedralbes  ;2,110191163;41,39103219;39025,00;270,20;43,70096225;87,7;44,4
22;Vallvidrera, el Tibidabo i les Planes  ;2,089452905;41,41949837;29429,00;1152,20;4,131227217;80,9;40,9
23;Sarrià  ;2,116175693;41,40263939;35993,00;304,20;81,42340565;85;42,7
24;les Tres Torres  ;2,129843552;41,39801148;42055,00;78,80;207,5634518;86,2;42,7
25;Sant Gervasi - la Bonanova  ;2,130182679;41,4098011;36874,00;223,50;116,2595078;84,9;43,3
26;Sant Gervasi - Galvany  ;2,143010396;41,39745161;37290,00;165,90;285,3887884;86,3;43,9
27;el Putxet i el Farró  ;2,143915166;41,40689832;30800,00;84,60;354,4444444;86,2;43,4
28;Vallcarca i els Penitents  ;2,140819049;41,41649389;26010,00;120,90;135,0289495;85,8;44,5
29;el Coll  ;2,147736387;41,41823355;21252,00;35,80;214,7486034;85,5;43,7
30;la Salut  ;2,154355758;41,41243134;24786,00;64,30;209,2534992;82,4;45,1
31;la Vila de Gràcia  ;2,156881056;41,40311171;23749,00;132,60;380,5128205;84,8;43
32;el Camp d'en Grassot i Gràcia Nova  ;2,165013111;41,40630319;25292,00;65,00;543,8769231;85,3;45,2
33;el Baix Guinardó  ;2,167850938;41,4117131;21811,00;56,00;461,4642857;84,7;46,3
34;Can Baró  ;2,162386516;41,41676036;20248,00;38,40;242,7083333;83,8;44,6
35;el Guinardó  ;2,173626027;41,41881977;21229,00;130,80;285,3593272;85,7;44,7
36;la Font d'en Fargues  ;2,16524146;41,42458218;24807,00;65,70;144,6727549;85,3;45,4
37;el Carmel  ;2,155947029;41,42174661;15582,00;94,20;347,388535;84,6;44
38;la Teixonera  ;2,14652181;41,42305283;17118,00;33,70;357,388724;83,6;44,1
39;Sant Genís dels Agudells  ;2,130116503;41,4254554;17351,00;171,60;43,03613054;82,9;45
40;Montbau  ;2,137761164;41,43526641;19170,00;204,70;24,98290181;80,2;47,1
41;la Vall d'Hebron  ;2,148344479;41,43041697;22778,00;73,60;80,59782609;84,7;47,5
42;la Clota  ;2,153076308;41,42886495;19442,00;17,80;39,21348315;82;39,3
43;Horta  ;2,151930867;41,4398903;19947,00;308,20;91,02855289;84,9;45,4
44;Vilapicina i la Torre Llobeta  ;2,174092135;41,42859145;19414,00;56,70;456,3492063;85,6;46,2
45;Porta  ;2,17878525;41,43486704;16964,00;84,10;330,5112961;85,4;44,6
46;el Turó de la Peira  ;2,168928709;41,43229812;14545,00;35,40;457,2316384;85,5;43,1
47;Can Peguera  ;2,166450148;41,43484212;12738,00;12,00;184,5833333;82;45,3
48;la Guineueta  ;2,168911157;41,43881018;18932,00;61,10;249,8690671;85,7;47,5
49;Canyelles  ;2,1634505;41,44503296;17878,00;79,30;85,91424968;84,1;48,2
50;les Roquetes  ;2,175163078;41,44804469;13014,00;64,20;257,9906542;83,9;40,9
51;Verdun  ;2,175622784;41,44269384;14267,00;23,70;542,8270042;84,2;43,5
52;la Prosperitat  ;2,181959849;41,44265822;15799,00;59,50;451,5630252;85,5;45,6
53;la Trinitat Nova  ;2,184890357;41,45060784;12205,00;56,00;136,2142857;79,6;42,2
54;Torre Baró  ;2,174064939;41,45478246;11455,00;176,80;16,53280543;81;39,3
55;Ciutat Meridiana  ;2,174847561;41,46120775;10739,00;35,50;314,1408451;85,7;39,6
56;Vallbona  ;2,184082545;41,46345736;11660,00;59,80;23,42809365;78,1;40,6
57;la Trinitat Vella  ;2,192894784;41,45167512;11994,00;81,00;129,7901235;85,4;39,5
58;Baró de Viver  ;2,198997703;41,44581465;12022,00;23,00;115,3478261;80,6;41,1
59;el Bon Pastor  ;2,201881197;41,43696474;15351,00;188,20;72,95430393;82,6;40,8
60;Sant Andreu  ;2,190234547;41,43695064;21547,00;184,10;316,2683324;85,7;44,9
61;la Sagrera  ;2,19024139;41,42326366;19799,00;97,20;304,1975309;85,5;45,5
62;el Congrés i els Indians  ;2,180835806;41,42457881;20089,00;40,70;357,4692875;85,5;45
63;Navas  ;2,185948458;41,41800035;20375,00;42,30;527,1631206;85,8;45,6
64;el Camp de l'Arpa del Clot  ;2,182461184;41,41201055;20927,00;74,20;523,4231806;84,8;45,2
65;el Clot  ;2,190020231;41,40980581;20483,00;69,60;384,4683908;85,6;44,5
66;el Parc i la Llacuna del Poblenou  ;2,190249555;41,39861299;21441,00;111,40;142,8545781;85,2;43,4
67;la Vila Olímpica del Poblenou  ;2,196629408;41,39073233;32436,00;94,30;99,62884411;87,4;41,8
68;el Poblenou  ;2,20239455;41,39998644;22751,00;154,50;222,7249191;84,3;41,8
69;Diagonal Mar i el Front Marítim del Poblenou  ;2,212946065;41,40527613;25589,00;123,70;109,4260307;85,9;40,8
70;el Besòs i el Maresme  ;2,216814241;41,41331399;12787,00;127,40;204,9921507;84,5;41,2
71;Provençals del Poblenou  ;2,202629363;41,41112312;20080,00;110,50;191,719457;85,1;42,9
72;Sant Martí de Provençals  ;2,198006429;41,41686182;18637,00;74,50;352,0671141;85,8;46,3
73;la Verneda i la Pau  ;2,203073198;41,42394957;16820,00;112,30;256,4381122;84,7;46,7
